company,segment,emotion_score,emotional_entry_count,average_sentiment_score,sentiment_entry_count,percentage_difference,starting_time
facebook1,output119,-0.9428571428571428,35.0,-0.254731424152851,8.0,-0.0208908972797055,11:44:39
facebook1,output120,-1.0,22.0,-0.5363659446056073,13.0,0.0221842000458627,11:45:39
facebook1,output132,-1.0,1.0,,,0.004783048655772,11:57:39
facebook1,output133,,,0.2033069431781768,10.0,-0.0014843479193266,11:58:39
facebook1,output134,-1.0,27.0,0.5090799629688263,12.0,0.1085462598623212,11:59:39
facebook1,output135,-1.0,3.0,0.3404290278752644,12.0,0.1389896370926605,12:00:39
facebook1,output136,-1.0,37.0,-0.100149585141076,9.0,0.0799483234541826,12:01:39
facebook1,output137,-1.0,18.0,-0.0900974637932247,18.0,0.0066798804601484,12:02:39
facebook1,output138,-0.8333333333333334,6.0,-0.4385100305080414,8.0,-0.0280725647470293,12:03:39
facebook1,output139,-0.7777777777777778,18.0,0.1126114938940321,14.0,0.0079974757534577,12:04:39
facebook1,output140,-0.8666666666666667,15.0,0.0075181765215737,14.0,-0.0620427393256288,12:05:39
facebook1,output141,-0.4545454545454545,11.0,-0.2983793467283249,12.0,0.1111242229780056,12:06:39
facebook1,output142,,,0.1465764828026294,16.0,0.0336839351492315,12:07:39
facebook1,output143,-1.0,30.0,-0.5205785632133484,1.0,-0.1308389089959563,12:08:39
facebook1,output144,-1.0,39.0,-0.8280942191680273,12.0,-0.0449383925403242,12:09:39
facebook1,output145,-1.0,38.0,-0.450027200308713,11.0,0.0991106292386674,12:10:39
facebook1,output146,-0.9655172413793104,29.0,0.2465906796001252,42.0,-0.0515066522694872,12:11:39
facebook1,output147,-0.625,8.0,0.3753690272569657,16.0,-0.1022278295648805,12:12:39
facebook1,output148,-1.0,1.0,-0.1467580199241638,9.0,0.0914680098415711,12:13:39
facebook1,output149,-0.3333333333333333,6.0,-0.2683716297149657,5.0,-0.0773989924118421,12:14:39
facebook1,output150,-1.0,3.0,-0.5753781578757546,11.0,-0.0622751531137514,12:15:39
facebook1,output151,-0.4444444444444444,9.0,-0.0336374546352185,19.0,0.1288187003705593,12:16:39
facebook1,output152,,,-0.5966141521930695,10.0,-0.110286432274028,12:17:39
facebook1,output153,-1.0,40.0,0.0116580526034037,12.0,-0.0226684742325435,12:18:39
facebook1,output154,-1.0,47.0,0.2478223993228032,13.0,0.0150965709010267,12:19:39
facebook1,output155,-1.0,48.0,-0.679520172732217,7.0,-0.1174616328168809,12:20:39
facebook1,output156,-0.8,5.0,0.08882477581501,20.0,0.0872327405090701,12:21:39
facebook1,output157,,,-0.4485029253092679,11.0,0.0148237519001609,12:22:39
facebook1,output158,-1.0,5.0,-0.1720570414154617,27.0,0.087916712972131,12:23:39
facebook1,output159,-0.5,2.0,0.3878222942352295,10.0,0.1060421650147079,12:24:39
facebook1,output160,-1.0,6.0,-0.1122325767170299,11.0,-0.084387953677636,12:25:39
facebook1,output161,-0.6666666666666666,6.0,-0.3128813281655311,8.0,-0.0810102614476029,12:26:39
facebook1,output162,-1.0,11.0,-0.375569611787796,10.0,0.0890488590819459,12:27:39
facebook1,output163,-0.8,10.0,-0.2031001150608062,8.0,-0.1214552716782509,12:28:39
